,playlist,id,name,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
214,Easy,5unXHHcSQLGO19RuVqZB6d,The Most Beautiful Thing,Easy,0.806,0.362,7,-10.381,1,0.0345,0.535,0.045,0.111,0.42,127.502,audio_features,spotify:track:5unXHHcSQLGO19RuVqZB6d,https://api.spotify.com/v1/tracks/5unXHHcSQLGO19RuVqZB6d,https://api.spotify.com/v1/audio-analysis/5unXHHcSQLGO19RuVqZB6d,235427,4
215,Easy,0j7sWqI2qyFaVSdcwzcb9N,Old Fashioned,Easy,0.74,0.242,2,-9.003,1,0.0472,0.736,0.00156,0.0972,0.331,131.987,audio_features,spotify:track:0j7sWqI2qyFaVSdcwzcb9N,https://api.spotify.com/v1/tracks/0j7sWqI2qyFaVSdcwzcb9N,https://api.spotify.com/v1/audio-analysis/0j7sWqI2qyFaVSdcwzcb9N,199904,3
216,Easy,6Ub9ro6DKs0u0J0zIBw5Of,Second Time,Easy,0.627,0.309,5,-12.783,1,0.0382,0.887,0.0316,0.19,0.406,92.6,audio_features,spotify:track:6Ub9ro6DKs0u0J0zIBw5Of,https://api.spotify.com/v1/tracks/6Ub9ro6DKs0u0J0zIBw5Of,https://api.spotify.com/v1/audio-analysis/6Ub9ro6DKs0u0J0zIBw5Of,155617,4
217,Easy,3A7Etq2wGE9cYqLIma97Tt,Aphrodite,Easy,0.717,0.298,6,-9.237,0,0.0394,0.555,0.00293,0.0997,0.262,116.039,audio_features,spotify:track:3A7Etq2wGE9cYqLIma97Tt,https://api.spotify.com/v1/tracks/3A7Etq2wGE9cYqLIma97Tt,https://api.spotify.com/v1/audio-analysis/3A7Etq2wGE9cYqLIma97Tt,271000,4
218,Easy,2HMMxCBemHQY4Qktdtcpwj,Camped,Easy,0.632,0.375,8,-13.582,1,0.0422,0.69,1.98e-05,0.128,0.342,133.009,audio_features,spotify:track:2HMMxCBemHQY4Qktdtcpwj,https://api.spotify.com/v1/tracks/2HMMxCBemHQY4Qktdtcpwj,https://api.spotify.com/v1/audio-analysis/2HMMxCBemHQY4Qktdtcpwj,220602,4
219,Easy,4pV3f1Nn5XtyA9x60rFan7,May I Ask,Easy,0.718,0.357,2,-8.843,1,0.0437,0.407,0.0,0.0897,0.347,146.006,audio_features,spotify:track:4pV3f1Nn5XtyA9x60rFan7,https://api.spotify.com/v1/tracks/4pV3f1Nn5XtyA9x60rFan7,https://api.spotify.com/v1/audio-analysis/4pV3f1Nn5XtyA9x60rFan7,230548,4
220,Easy,6NK9sI0Lnsiwn6I0MbWWxn,Take On Me - 2017 Acoustic,Easy,0.437,0.188,9,-10.868,1,0.0307,0.92,1.26e-05,0.0988,0.223,103.883,audio_features,spotify:track:6NK9sI0Lnsiwn6I0MbWWxn,https://api.spotify.com/v1/tracks/6NK9sI0Lnsiwn6I0MbWWxn,https://api.spotify.com/v1/audio-analysis/6NK9sI0Lnsiwn6I0MbWWxn,184326,5
221,Easy,1otG6j1WHNvl9WgXLWkHTo,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",Easy,0.702,0.659,4,-6.766,0,0.13,0.301,0.00201,0.218,0.843,79.64,audio_features,spotify:track:1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/tracks/1otG6j1WHNvl9WgXLWkHTo,https://api.spotify.com/v1/audio-analysis/1otG6j1WHNvl9WgXLWkHTo,207455,4
222,Easy,4a6q8CR2hzLk2plDkSxkfD,I.F.L.Y.,Easy,0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.554,104.954,audio_features,spotify:track:4a6q8CR2hzLk2plDkSxkfD,https://api.spotify.com/v1/tracks/4a6q8CR2hzLk2plDkSxkfD,https://api.spotify.com/v1/audio-analysis/4a6q8CR2hzLk2plDkSxkfD,165714,4
223,Easy,4pryE6cN2gFL1FVF5fYINl,Leave The Door Open,Easy,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,audio_features,spotify:track:4pryE6cN2gFL1FVF5fYINl,https://api.spotify.com/v1/tracks/4pryE6cN2gFL1FVF5fYINl,https://api.spotify.com/v1/audio-analysis/4pryE6cN2gFL1FVF5fYINl,242096,4
224,Easy,2cEVcPslk7RwcqDpLA6Mhu,Crave You,Easy,0.921,0.477,1,-8.962,0,0.0828,0.109,0.0,0.0793,0.311,120.044,audio_features,spotify:track:2cEVcPslk7RwcqDpLA6Mhu,https://api.spotify.com/v1/tracks/2cEVcPslk7RwcqDpLA6Mhu,https://api.spotify.com/v1/audio-analysis/2cEVcPslk7RwcqDpLA6Mhu,234777,4
225,Easy,6tDDoYIxWvMLTdKpjFkc1B,telepatía,Easy,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,audio_features,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/tracks/6tDDoYIxWvMLTdKpjFkc1B,https://api.spotify.com/v1/audio-analysis/6tDDoYIxWvMLTdKpjFkc1B,160191,4
226,Easy,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Easy,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4
227,Easy,6sv7ZmasB6qSiF8hWJNpDG,Still,Easy,0.485,0.315,4,-11.599,1,0.0946,0.581,0.000349,0.11,0.425,134.714,audio_features,spotify:track:6sv7ZmasB6qSiF8hWJNpDG,https://api.spotify.com/v1/tracks/6sv7ZmasB6qSiF8hWJNpDG,https://api.spotify.com/v1/audio-analysis/6sv7ZmasB6qSiF8hWJNpDG,226927,4
228,Easy,2ZwIO3ufWLFYxtEoam9ydu,My Favourite Clothes,Easy,0.746,0.339,2,-9.041,1,0.144,0.482,1.36e-05,0.0838,0.291,119.924,audio_features,spotify:track:2ZwIO3ufWLFYxtEoam9ydu,https://api.spotify.com/v1/tracks/2ZwIO3ufWLFYxtEoam9ydu,https://api.spotify.com/v1/audio-analysis/2ZwIO3ufWLFYxtEoam9ydu,257000,4
